Балкон или лоджия;Мебель;Адрес;Жилая площадь;Количество комнат;Ремонт;Интернет и ТВ;Цена;Техника;Общая площадь;Площадь кухни;Санузел;Этаж;Оплата по счётчикам;Тип комнат
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 37; 70 м²; 3; косметический;;34 999; холодильник, стиральная машина; 90 м²; 10 м²;; 2 из 9;; изолированные
; кухня, хранение одежды;Республика Татарстан, Казань, ул. Гагарина, 53;; 2; косметический; Wi-Fi;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 45 м²; 6 м²; совмещенный; 1 из 5;; смежные
 балкон;;Республика Татарстан, Казань, ул. Вишневского, 57А;; 2; дизайнерский;;50 000;; 55 м²; 18 м²; совмещенный; 12 из 20;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Пестречинский р-н, Богородское сельское поселение, д. Куюки, 16-й квартал, 11; 16 м²; 1; косметический;;15 000; холодильник, стиральная машина, телевизор; 44 м²; 16 м²; совмещенный; 3 из 3;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Хайдара Бигичева, 14; 18 м²; 1; косметический; телевидение;17 000; холодильник, плита, стиральная машина, телевизор; 33 м²; 6 м²;; 3 из 9; включена в плату;
 балкон;;Республика Татарстан, Казань, пр-т Победы, 90; 16 м²; студия; евро;;23 000;; 27 м²;; совмещенный; 7 из 12;;
 балкон;;Республика Татарстан, Казань, пр-т Победы, 90; 16 м²; студия; евро;;23 000;; 27 м²;; совмещенный; 7 из 12;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Аделя Кутуя, 110Дк3;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 10 м²;; 3 из 24;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Побежимова, 37; 20 м²; 1; косметический; Wi-Fi;14 000; холодильник, плита, стиральная машина; 45 м²; 10 м²; совмещенный; 9 из 16;;
;;Республика Татарстан, Казань, Тэцевская ул., 4Д; 26 м²; 2; дизайнерский;;21 999; холодильник, стиральная машина; 40 м²; 8 м²;; 2 из 12;; изолированные, смежные
 лоджия;;Республика Татарстан, Казань, ул. Юлиуса Фучика, 58Б; 40 м²; 1; евро;;22 000; кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор; 55 м²; 13 м²; раздельный; 7 из 15;;
;;Республика Татарстан, Казань, Ново-Светлая ул., 16;; 3; косметический;;30 000;; 70 м²; 10 м²;; 9 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Журналистов, 6; 26 м²; 1; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 42 м²; 10 м²; совмещенный; 4 из 10;;
;;Республика Татарстан, Казань, ул. Азамат, 6; 44 м²; 2; дизайнерский;;44 999; холодильник, стиральная машина; 56 м²; 12 м²;; 1 из 1;; изолированные
;;Республика Татарстан, Казань, ул. Толбухина, 19;; 2; евро;;22 000;; 60 м²; 12 м²;; 3 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Братьев Батталовых, 20к1; 29 м²; 2; дизайнерский; телевидение;30 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 52.7 м²; 12 м²; совмещенный; 10 из 22;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Восстания, 82Б;; студия; евро;;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 32 м²;; совмещенный; 10 из 24;;
 лоджия;;Республика Татарстан, Казань, ул. Рауиса Гареева, 111к1; 20 м²; студия; дизайнерский;;20 000; холодильник, плита, микроволновка, стиральная машина; 34 м²;; совмещенный; 12 из 19;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Карбышева, 11;; 1; косметический;;18 000; холодильник, плита, стиральная машина; 35 м²; 6 м²;; 1 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Братьев Батталовых, 20А; 7.5 м²; 1; дизайнерский; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, стиральная машина, телевизор; 32 м²; 18 м²; совмещенный; 19 из 25;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 99Б;; 2; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 66.1 м²; 12 м²; совмещенный; 5 из 9;; изолированные
;;Республика Татарстан, Казань, ул. Хади Такташа, 2;; 3; косметический;;28 000;; 110 м²; 15 м²; совмещенный; 2 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Азата Аббасова, 9;; студия; дизайнерский;;20 000; кондиционер, холодильник, плита, стиральная машина, водонагреватель; 30 м²;; совмещенный; 18 из 19;;
;;Республика Татарстан, Казань, Олонецкая ул., 4А;; 4; евро;;28 000;; 76 м²; 10 м²;; 5 из 9;; изолированные
 балкон;;Республика Татарстан, Казань, пр-т Универсиады, 14; 20 м²; 1; косметический;;16 000; холодильник, плита; 42 м²; 12 м²; совмещенный; 5 из 16;;
;;Республика Татарстан, Казань, ул. Павлюхина, 110Г; 17 м²; 1; косметический;;29 999; холодильник, стиральная машина; 41 м²; 14 м²;; 13 из 19;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ильгама Шакирова, 5А; 34 м²; 2; косметический; Wi-Fi, телевидение;16 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 54 м²; 10 м²;; 7 из 17;; изолированные
;;Республика Татарстан, Казань, ул. Абсалямова, 13; 45 м²; 2; евро;;45 000; холодильник, стиральная машина; 58 м²; 7 м²;; 3 из 10;; изолированные, смежные
;;Республика Татарстан, Казань, ул. Зои Космодемьянской, 17; 167 м²; 4; евро;;59 999; холодильник, стиральная машина; 212 м²; 23 м²;; 6 из 6;; изолированные, смежные
;;Республика Татарстан, Казань, Право-Булачная ул., 37; 20 м²; 2; косметический;;39 900; холодильник, стиральная машина; 39 м²; 10 м²;; 5 из 5;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Советский район, микрорайон Азино-1, ул. Закиева, 9; 27 м²; 2; косметический;;20 000; холодильник, плита, микроволновка, стиральная машина; 54 м²; 10 м²; раздельный; 6 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Баки Урманче, 6; 65 м²; 3; евро; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 100 м²; 14 м²; раздельный; 5 из 10;; изолированные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Кул Гали, 24; 18 м²; 1; евро;;17 000; холодильник, плита, стиральная машина, телевизор; 40 м²; 11 м²;; 8 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Ломжинская ул., 6; 21 м²; 1; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 8 м²; совмещенный; 6 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Декабристов, 160/40; 35 м²; 2; косметический; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 60 м²; 12 м²;; 3 из 5;; изолированные
;;Республика Татарстан, Казань, пр-т Универсиады, 16; 12 м²; 1; евро; Wi-Fi, телевизор;20 000; холодильник, стиральная машина; 38 м²; 10 м²; совмещенный; 1 из 19;;
;;Республика Татарстан, Казань, ул. Шуртыгина, 32/22;; 2; дизайнерский;;30 000;; 70 м²; 10 м²;; 5 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Спартаковская ул., 165;; 2; евро; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 60 м²; 15 м²; раздельный; 3 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Зур Урам, 1Кк4; 14 м²; 1; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 37 м²; 14 м²; совмещенный; 10 из 10;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Зур Урам, 1К;; 2; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 60 м²; 10 м²;; 6 из 18;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Волкова, 12; 28 м²; 1; евро; Wi-Fi, телевидение;40 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 50 м²; 22 м²; совмещенный; 7 из 7;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 87; 22 м²; 1; евро; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 34.5 м²; 6.5 м²; совмещенный; 1 из 10;;
;;Республика Татарстан, Казань, ул. Родины, 26Г;; 1; евро;;24 000;; 45 м²; 10 м²;; 14 из 24;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Лаишевский р-н, Габишевское сельское поселение, с. Габишево, Советская ул., 1Б;; 1; косметический;;15 000; холодильник, плита, стиральная машина; 35 м²; 11 м²; совмещенный; 5 из 5;;
;;Республика Татарстан, Казань, ул. Четаева, 22; 20 м²; 1; косметический;;29 999; холодильник, стиральная машина; 38 м²; 11 м²;; 5 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Галимджана Баруди, 4; 20 м²; 1; евро;;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 37 м²; 8 м²; совмещенный; 10 из 16;;
;;Республика Татарстан, Казань, ул. Хайдара Бигичева, 32;; 1; косметический;;18 000;; 44 м²; 6 м²;; 12 из 16;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Короленко, 35А;; 1; косметический;;18 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 30.5 м²; 10 м²; совмещенный; 6 из 6;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Азата Аббасова, 3;; 1; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 35 м²; 8 м²; раздельный; 5 из 10;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Сибгата Хакима, 33;; 1; дизайнерский;;27 000;; 50 м²; 12 м²; совмещенный; 4 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Глушко, 5; 18 м²; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 28 м²; 5 м²; совмещенный; 3 из 9;;
;;Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 64;; 2; евро;;25 000;; 50 м²; 10 м²; совмещенный; 1 из 5;; изолированные
; хранение одежды, спальные места;Республика Татарстан, Казань, ул. Гудованцева, 22; 16 м²; студия; косметический; Wi-Fi;10 000; холодильник, плита; 18.4 м²;; совмещенный; 3 из 5;;
;;Республика Татарстан, Казань, ул. Алексея Козина, 3Б;; 2; требует ремонта;;35 000;; 55 м²; 9 м²;; 15 из 20;; смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Габдуллы Тукая, 65А; 17.5 м²; 1; косметический;;18 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 33 м²; 6 м²; совмещенный; 4 из 5;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Аметьевская Магистраль, 18к3; 38 м²; 2; евро; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 52 м²; 7 м²; совмещенный; 21 из 26;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, улица Аметьевская Магистраль, 18к3; 38 м²; 2; евро; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 52 м²; 7 м²; совмещенный; 21 из 26;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Баки Урманче, 7;; 1; евро; Wi-Fi, телевидение;19 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 47 м²; 10 м²; раздельный; 7 из 22;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 139к1;; 2; евро; Wi-Fi, телевидение;28 000; холодильник, плита, микроволновка, стиральная машина; 70 м²; 12 м²; совмещенный; 8 из 18;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 73; 30 м²; 1; косметический; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 50 м²; 12 м²; раздельный; 6 из 9;;
;;Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к1;; 2; евро; Wi-Fi, телевидение;30 000; холодильник, плита, микроволновка, телевизор; 50 м²; 8 м²;; 25 из 25;; изолированные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Четаева, 28; 34 м²; 2; евро; Wi-Fi, телевидение;38 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 76 м²; 13 м²; раздельный; 10 из 11;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Короленко, 28Б;; 1; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 37 м²; 8 м²; совмещенный; 20 из 21;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Короленко, 28Б; 18 м²; 1; дизайнерский; Wi-Fi, телевидение;55 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 9 м²; совмещенный; 12 из 21;;
;;Республика Татарстан, Казань, пр-т Победы, 139Ак1; 42 м²; 2; косметический;;45 000;; 63 м²; 12 м²;; 9 из 18;; изолированные, смежные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская улица, 25;; 1; евро;;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 37 м²; 10 м²; совмещенный; 4 из 16;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пер. Односторонки Гривки, 10; 15 м²; 1; косметический; Wi-Fi, телевидение;22 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 46 м²; 13 м²; совмещенный; 4 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 2; 25 м²; 1; дизайнерский; Wi-Fi, телевидение;55 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 42 м²; 14 м²; раздельный; 8 из 20; включена в плату;
;;Республика Татарстан, Казань, Беломорская ул., 81;; 1; косметический;;13 000;; 18 м²;;; 4 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Салиха Батыева, 17; 30 м²; 2; евро; Wi-Fi;25 000; кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор; 65 м²; 14 м²; раздельный; 2 из 10;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, 2-я Ленинградская ул., 4;; 1; евро; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 43 м²; 7 м²; совмещенный; 10 из 10; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Заря, 32; 40 м²; 2; косметический;;25 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 48 м²; 6 м²; совмещенный; 5 из 5;; смежные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ямашева, 101;; 2; косметический; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 10 м²; совмещенный; 4 из 10;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Алексея Козина, 2; 20 м²; студия; евро; Wi-Fi;30 000; холодильник, плита, стиральная машина, телевизор; 30 м²;; совмещенный; 9 из 15;;
;;Республика Татарстан, Казань, ул. Чингиза Айтматова, 1; 55 м²; 2; косметический;;29 999; холодильник, стиральная машина; 71 м²; 10 м²;; 14 из 18;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Победы, 136; 35 м²; 2; косметический;;23 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 50 м²; 12 м²; раздельный; 4 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Побежимова, 59; 18 м²; 1; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор; 35 м²; 9 м²; совмещенный; 9 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Павлюхина, 108Б; 50 м²; 3; дизайнерский; Wi-Fi, телевидение;55 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 74 м²; 14 м²; совмещенный; 14 из 25;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Завойского, 6;; 1; косметический;;17 000; холодильник, плита, микроволновка, стиральная машина; 47 м²; 12 м²;; 9 из 16;;
;;Республика Татарстан, Казань, ул. Адоратского, 3;; 2; евро;;23 000;; 70 м²; 15 м²;; 6 из 10;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Горького, 12;; 2; дизайнерский; Wi-Fi, телевидение;60 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 100 м²; 25 м²; совмещенный; 2 из 2;; изолированные
;;Республика Татарстан, Казань, ул. Павлюхина, 102А; 40 м²; 2; косметический;;33 999; холодильник, стиральная машина; 65 м²; 13 м²;; 3 из 9;; изолированные
 балкон;;Республика Татарстан, Казань, ул. Гудованцева, 43; 19 м²; 1; евро;;16 000;; 30 м²; 7 м²; совмещенный; 3 из 5;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Николая Ершова, 66В; 15.1 м²; 1; евро; Wi-Fi, телевидение;35 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 37 м²; 10.1 м²; совмещенный; 5 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Рауиса Гареева, 100; 18 м²; студия; евро; Wi-Fi, телевидение;20 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 36 м²;;; 7 из 10;;
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, Счастливая ул., 7; 35 м²; 2; косметический; Wi-Fi, телевидение;17 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 54 м²; 12 м²;; 5 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Братьев Батталовых, 20к1; 15 м²; 1; косметический; Wi-Fi;19 000; холодильник, плита, микроволновка, стиральная машина; 30 м²; 5 м²; совмещенный; 5 из 23;;
;;Республика Татарстан, Казань, ул. Адоратского, 1; 50 м²; 2; косметический;;36 999; холодильник, стиральная машина; 80 м²; 12 м²;; 5 из 12;; смежные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Нурсултана Назарбаева, 10;; 2; евро;;30 000; холодильник, плита, микроволновка, стиральная машина; 56 м²; 11 м²; совмещенный; 6 из 6;; смежные
 лоджия; кухня;Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, жилой комплекс Южный Парк, Сиреневая ул., 4;; 1; косметический;;17 000; холодильник; 34 м²; 12 м²; совмещенный; 2 из 5;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Лейтенанта Шмидта, 46;; 1; евро; Wi-Fi, телевидение;22 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 36 м²; 8 м²;; 2 из 5;;
 лоджия;;Республика Татарстан, Казань, пр-т Ильгама Шакирова, 5А;; 2; косметический;;16 000; холодильник, стиральная машина; 50 м²; 30 м²; совмещенный; 10 из 18;; изолированные
;;Республика Татарстан, Казань, ул. Павлюхина, 99Б; 48 м²; 2; косметический;;34 999;; 70 м²; 10 м²;; 3 из 9;; изолированные
;;Республика Татарстан, Казань, пр-т Ямашева, 82; 45 м²; 2; косметический; Wi-Fi, телевизор;30 000; холодильник, стиральная машина; 50 м²; 5 м²; раздельный; 5 из 9;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Приволжский район, жилой комплекс Лесной Городок, Солнечная ул., 58;; 2; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор; 50 м²; 20 м²; совмещенный; 4 из 5;; изолированные, смежные
 балкон, лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Четаева, 41;; 1; евро; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор; 40 м²; 6 м²; совмещенный; 3 из 10;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Академика Лаврентьева, 8А; 31 м²; 2; косметический; Wi-Fi, телевидение;25 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 55 м²; 7 м²; совмещенный; 1 из 9;; изолированные, смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Чингиза Айтматова, 9;; 2; евро; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 60 м²; 16 м²; совмещенный; 2 из 18;; изолированные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Юлиуса Фучика, 82;; 3; косметический; Wi-Fi, телевидение;25 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 90 м²; 13 м²;; 6 из 10;; изолированные
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 33;; 1; косметический;;23 000;; 42 м²; 13 м²;; 8 из 9;;
;;Республика Татарстан, Казань, ул. Карбышева, 58;; 1; косметический;;17 000;; 40 м²; 7 м²;; 9 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Оренбургский тракт, 8Д;; 1; дизайнерский; Wi-Fi, телевидение;30 000; кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 45 м²; 17 м²; совмещенный, раздельный; 5 из 20;;
;;Республика Татарстан, Казань, Оренбургский тракт, 138Д; 25 м²; 1; евро; телевизор;19 999; холодильник, стиральная машина; 40 м²; 10 м²;; 15 из 19;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Виктора Сажинова, 6/9; 20 м²; 1; косметический; телевидение;15 000; холодильник, плита, стиральная машина, телевизор; 42 м²; 12 м²; совмещенный; 7 из 19;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Красной Позиции, 7; 30 м²; 2; евро; Wi-Fi, телевидение;20 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 44 м²; 6 м²; совмещенный; 1 из 5;; изолированные
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 40; 85 м²; 3; косметический;;70 000;; 100 м²; 10 м²;; 12 из 17;; изолированные
;;Республика Татарстан, Казань, Чистопольская ул., 79;; 1; евро;;22 000;; 50 м²; 10 м²;; 7 из 9;;
;;Республика Татарстан, Казань, ул. Сибгата Хакима, 40; 85 м²; 3; косметический;;70 000;; 100 м²; 10 м²;; 12 из 17;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр. Яраткан, 4В; 19 м²; 1; евро; Wi-Fi, телевидение;20 000; холодильник, плита, стиральная машина, телевизор; 37 м²; 12 м²; совмещенный; 12 из 24;;
 балкон;;Республика Татарстан, Казань, ул. Адоратского, 13; 17 м²; 1; косметический; Wi-Fi;22 000; холодильник, микроволновка, водонагреватель, телевизор; 37 м²; 7 м²; совмещенный; 9 из 10;;
;;Республика Татарстан, Казань, Низенькая ул., 7; 95 м²; 4; дизайнерский;;40 000;; 105 м²; 10 м²;; 1 из 3;; изолированные, смежные
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, ул. Татарстан, 13; 20 м²; 1; косметический; Wi-Fi;23 000; кондиционер, холодильник, плита, микроволновка, стиральная машина; 36 м²; 7 м²; совмещенный; 7 из 9;;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Вахитовский район, жилой массив Аметьево, Дачная ул., 1;; 1; косметический; Wi-Fi, телевидение;18 000; холодильник, плита, стиральная машина, телевизор; 32.5 м²; 7 м²; совмещенный; 2 из 9;;
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, проспект Победы, 139Ак2; 20 м²; 1; дизайнерский; Wi-Fi, телевидение;35 000; холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор; 40 м²; 10 м²; совмещенный; 4 из 16;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Азата Аббасова, 23А; 28 м²; 2; евро;;35 000; кондиционер, холодильник, плита, стиральная машина; 54 м²; 9.5 м²; совмещенный; 9 из 10;; изолированные
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, пр-т Ильгама Шакирова, 5А;; 1; косметический;;13 000; холодильник, плита, стиральная машина; 38 м²; 6 м²; совмещенный; 2 из 18;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, Чистопольская ул., 40;; 1; евро; телевидение;40 000; кондиционер, холодильник, плита, стиральная машина, посудомоечная машина, телевизор; 52 м²; 12 м²; совмещенный; 4 из 20; включена в плату;
 балкон; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Восстания, 76;; 1; косметический;;18 000; холодильник, плита, микроволновка, стиральная машина, телевизор; 32 м²; 7 м²; совмещенный; 2 из 5;;
;;Республика Татарстан, Казань, ул. Латышских Стрелков, 39;; 1; требует ремонта;;25 000;; 39 м²; 10 м²;; 12 из 14;;
 лоджия; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, 2-я Юго-Западная ул., 36; 18 м²; 1; косметический;;17 000; холодильник, плита, микроволновка, стиральная машина; 38.4 м²; 11 м²; совмещенный; 6 из 10;;
 балкон;;Республика Татарстан, Казань, ул. Ноксинский Спуск, 26; 28 м²; 2; евро;;22 000;; 52 м²; 10 м²; раздельный; 6 из 10;; изолированные
;;Республика Татарстан, Казань, ул. Братьев Касимовых, 35;; 2; дизайнерский;;35 000;; 57 м²; 20 м²;; 3 из 24;; изолированные, смежные
; кухня, хранение одежды, спальные места;Республика Татарстан, Казань, ул. Гагарина, 4; 15 м²; 1; косметический; Wi-Fi;20 000; холодильник, плита, микроволновка, стиральная машина; 32 м²; 6 м²; совмещенный; 1 из 5;;
;;Республика Татарстан, Казань, ул. Сабира Ахтямова, 1к1;; 2; дизайнерский;;24 000;; 40 м²; 15 м²;; 11 из 17;; изолированные, смежные
